UNITID,COSTT4_A,COSTT4_P
246895,NULL,4760
237491,NULL,5548
417275,NULL,5661
461306,NULL,5810
418357,NULL,5981
419420,NULL,6190
368647,NULL,6564
461175,NULL,6853
221582,NULL,7178
365374,NULL,7222
135267,NULL,7314
151564,NULL,7323
365198,NULL,7376
461625,NULL,7438
230162,NULL,7556
488891,NULL,7720
237543,NULL,7742
377485,NULL,7809
220756,NULL,7812
134307,NULL,7879
459523,NULL,7948
168892,NULL,8091
404684,NULL,8128
367875,NULL,8219
241182,NULL,8303
372082,NULL,8307
461087,NULL,8355
363165,NULL,8439
198844,NULL,8543
430795,NULL,8545
481368,NULL,8620
366155,NULL,8685
135294,NULL,8765
418348,NULL,8808
431017,NULL,8824
241906,NULL,8841
138284,NULL,8844
383084,NULL,8849
418320,NULL,8854
431187,NULL,9000
454917,NULL,9003
169947,NULL,9010
230490,NULL,9013
132675,NULL,9039
364575,NULL,9113
376242,NULL,9125
418764,NULL,9281
242413,NULL,9300
483896,NULL,9353
455956,NULL,9403
240879,NULL,9424
444732,NULL,9451
135647,NULL,9528
413176,NULL,9624
495970,NULL,9653
459329,NULL,9695
423397,NULL,9738
230205,NULL,9742
237145,NULL,9764
418913,NULL,9786
487977,NULL,9795
147642,NULL,9805
375683,NULL,9855
135407,NULL,9868
137865,NULL,9880
237729,NULL,9888
369446,NULL,9911
493071,NULL,9936
491464,NULL,9978
158538,NULL,9998
242583,3962,NULL
242565,4211,NULL
452106,4740,NULL
242042,5025,NULL
198321,5528,NULL
241720,5663,NULL
101471,6012,NULL
376695,7202,NULL
409315,7237,NULL
242556,7348,NULL
262031,7580,NULL
203748,7590,NULL
176008,7664,NULL
241951,7676,NULL
226107,7728,NULL
226408,7826,NULL
243647,7990,NULL
240736,8050,NULL
144218,8174,NULL
219408,8175,NULL
187903,8211,NULL
203331,8216,NULL
430935,8274,NULL
175519,8292,NULL
446516,8373,NULL
177870,8375,NULL
144193,8423,NULL
123217,8441,NULL
144209,8454,NULL
234377,8557,NULL
240790,8559,NULL
138682,8609,NULL
442781,8652,NULL
144944,8729,NULL
171535,8747,NULL
405872,8810,NULL
105525,8856,NULL
181303,8874,NULL
155140,8934,NULL
487162,8935,NULL
136145,9001,NULL
133021,9030,NULL
483045,9069,NULL
146603,9113,NULL
122791,9117,NULL
171225,9123,NULL
241377,9136,NULL
144166,9137,NULL
133702,9145,NULL
101994,9152,NULL
101897,9200,NULL
129756,9205,NULL
146296,9220,NULL
363916,9271,NULL
134495,9288,NULL
137759,9290,NULL
444194,9320,NULL
172671,9333,NULL
363907,9341,NULL
149727,9361,NULL
119137,9365,NULL
125028,9371,NULL
146472,9387,NULL
144184,9391,NULL
111887,9395,NULL
444671,9399,NULL
136473,9421,NULL
485458,9422,NULL
138840,9429,NULL
202356,9431,NULL
241386,9432,NULL
198491,9436,NULL
100760,9437,NULL
132693,9443,NULL
162557,9455,NULL
123509,9473,NULL
441706,9523,NULL
172617,9551,NULL
198640,9556,NULL
101143,9561,NULL
197027,9565,NULL
187532,9577,NULL
204422,9659,NULL
111434,9662,NULL
120421,9662,NULL
162168,9691,NULL
241216,9708,NULL
208406,9729,NULL
243133,9732,NULL
225423,9752,NULL
135160,9789,NULL
227377,9790,NULL
181640,9797,NULL
175786,9805,NULL
205470,9810,NULL
241146,9832,NULL
229841,9833,NULL
180212,9835,NULL
447582,9893,NULL
242121,9911,NULL
168607,9916,NULL
144564,9948,NULL
223816,9949,NULL
224110,9954,NULL
223506,9976,NULL
224961,9985,NULL
101286,9990,NULL
100812,NULL,NULL
101453,NULL,NULL
102395,NULL,NULL
104665,NULL,NULL
105367,NULL,NULL
105534,NULL,NULL
106263,NULL,NULL
107123,NULL,NULL
108269,NULL,NULL
108861,NULL,NULL
108870,NULL,NULL
109086,NULL,NULL
110316,NULL,NULL
110398,NULL,NULL
110468,NULL,NULL
110699,NULL,NULL
110778,NULL,NULL
111045,NULL,NULL
111391,NULL,NULL
112127,NULL,NULL
112251,NULL,NULL
112525,NULL,NULL
113704,NULL,NULL
114114,NULL,NULL
114549,NULL,NULL
114585,NULL,NULL
114637,NULL,NULL
114734,NULL,NULL
114840,NULL,NULL
115083,NULL,NULL
115214,NULL,NULL
115746,NULL,NULL
116226,NULL,NULL
116846,NULL,NULL
117283,NULL,NULL
117520,NULL,NULL
117557,NULL,NULL
117575,NULL,NULL
117636,NULL,NULL
117672,NULL,NULL
117803,NULL,NULL
119058,NULL,NULL
119678,NULL,NULL
120166,NULL,NULL
120184,NULL,NULL
120698,NULL,NULL
120768,NULL,NULL
120795,NULL,NULL
120838,NULL,NULL
121628,NULL,NULL
122117,NULL,NULL
122296,NULL,NULL
122649,NULL,NULL
123095,NULL,NULL
123448,NULL,NULL
123633,NULL,NULL
123855,NULL,NULL
123916,NULL,NULL
123943,NULL,NULL
123970,NULL,NULL
124283,NULL,NULL
124487,NULL,NULL
125037,NULL,NULL
125231,NULL,NULL
125718,NULL,NULL
126012,NULL,NULL
126049,NULL,NULL
126979,NULL,NULL
127273,NULL,NULL
127714,NULL,NULL
128328,NULL,NULL
129428,NULL,NULL
129491,NULL,NULL
129534,NULL,NULL
130624,NULL,NULL
130837,NULL,NULL
131405,NULL,NULL
131803,NULL,NULL
131973,NULL,NULL
133942,NULL,NULL
135364,NULL,NULL
135610,NULL,NULL
135735,NULL,NULL
136701,NULL,NULL
138929,NULL,NULL
139348,NULL,NULL
