Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020
236948,University of Washington-Seattle Campus,1179,7161,0,0,1077,7027,0.16464180980310011,0.0,0.15326597409990039
170976,University of Michigan-Ann Arbor,300,6695,0,0,240,6879,0.044809559372666168,0.0,0.034888791975577843
227368,The University of Texas Rio Grande Valley,49,4565,0,0,35,5338,0.010733844468784228,0.0,0.0065567628325215437
153603,Iowa State University,165,6047,0,0,85,5070,0.027286257648420704,0.0,0.016765285996055226
142522,Brigham Young University-Idaho,162,4451,0,0,174,4887,0.036396315434733768,0.0,0.035604665438919582
216339,Temple University,129,5030,0,0,94,4856,0.025646123260437376,0.0,0.019357495881383854
207500,University of Oklahoma-Norman Campus,129,4385,0,0,113,4422,0.029418472063854048,0.0,0.025554047942107645
130943,University of Delaware,152,4705,0,0,67,4175,0.032306057385759833,0.0,0.016047904191616766
139755,Georgia Institute of Technology-Main Campus,385,3116,0,0,311,3260,0.12355584082156611,0.0,0.095398773006134974
172644,Wayne State University,36,3038,0,0,34,3120,0.011849901250822911,0.0,0.010897435897435897
206084,University of Toledo,71,3270,0,0,56,2363,0.021712538226299694,0.0,0.023698688108336859
160755,Tulane University of Louisiana,94,1909,0,0,129,1801,0.049240440020953381,0.0,0.071626873958911721
136215,Nova Southeastern University,1,1248,0,0,69,1689,0.00080128205128205125,0.0,0.040852575488454709
200280,University of North Dakota,41,1835,0,0,28,1614,0.0223433242506812,0.0,0.017348203221809171
131159,American University,60,1758,0,0,74,1607,0.034129692832764506,0.0,0.046048537647790912
243744,Stanford University,227,1696,0,0,202,1606,0.1338443396226415,0.0,0.12577833125778332
198516,Elon University,1,1698,0,1659,22,1587,0.00058892815076560655,0.0,0.013862633900441084
198419,Duke University,131,1745,0,0,96,1580,0.075071633237822344,0.0,0.060759493670886074
162928,Johns Hopkins University,156,1420,0,0,192,1405,0.10985915492957747,0.0,0.13665480427046264
213543,Lehigh University,127,1275,0,0,122,1370,0.0996078431372549,0.0,0.089051094890510954
204486,University of Northwestern Ohio,8,996,0,0,29,915,0.0080321285140562242,0.0,0.03169398907103825
174844,St Olaf College,76,809,0,0,50,729,0.093943139678615575,0.0,0.068587105624142664
132657,Lynn University,106,640,0,0,101,701,0.165625,0.0,0.14407988587731813
117751,The Master's University and Seminary,10,269,0,0,49,681,0.03717472118959108,0.0,0.071953010279001473
169080,Calvin College,106,842,0,0,77,660,0.12589073634204276,0.0,0.11666666666666667
212577,Franklin and Marshall College,123,611,0,0,79,553,0.20130932896890344,0.0,0.14285714285714285
206589,The College of Wooster,98,569,0,543,60,530,0.17223198594024605,0.0,0.11320754716981132
136774,Ringling College of Art and Design,89,429,0,0,101,432,0.20745920745920746,0.0,0.23379629629629631
217493,Rhode Island School of Design,154,473,0,0,94,414,0.32558139534883723,0.0,0.22705314009661837
170532,Kalamazoo College,21,408,0,0,28,384,0.051470588235294115,0.0,0.072916666666666671
211273,Bryn Mawr College,86,391,0,0,44,359,0.21994884910485935,0.0,0.12256267409470752
212911,Haverford College,51,357,0,0,36,334,0.14285714285714285,0.0,0.10778443113772455
109651,Art Center College of Design,94,241,0,0,104,233,0.39004149377593361,0.0,0.44635193133047213
199759,Southeastern Baptist Theological Seminary,1,140,0,0,22,156,0.0071428571428571426,0.0,0.14102564102564102
111081,California Institute of the Arts,41,215,0,0,39,151,0.19069767441860466,0.0,0.25827814569536423
234915,City University of Seattle,0,15,0,0,35,72,0.0,0.0,0.4861111111111111
139940,Georgia State University,201,4999,513,5064,237,5518,0.040208041608321664,0.10130331753554503,0.042950344327654946
217156,Brown University,246,1652,258,1660,238,1751,0.14891041162227603,0.15542168674698795,0.13592233009708737
230807,Westminster College,13,438,9,283,28,180,0.029680365296803651,0.031802120141342753,0.15555555555555556
135726,University of Miami,333,2367,266,2204,171,2359,0.14068441064638784,0.1206896551724138,0.072488342518016113
221519,The University of the South,21,477,19,438,29,490,0.0440251572327044,0.043378995433789952,0.059183673469387757
154004,Morningside College,16,345,20,367,27,358,0.0463768115942029,0.054495912806539509,0.075418994413407825
168740,Andrews University,38,296,23,283,24,257,0.12837837837837837,0.0812720848056537,0.0933852140077821
221847,Tennessee Technological University,18,1890,25,1705,22,1720,0.0095238095238095247,0.01466275659824047,0.012790697674418604
134097,Florida State University,51,6324,27,7106,51,6006,0.0080645161290322578,0.0037996059667886294,0.0084915084915084919
110592,California State University-Los Angeles,28,3862,27,3287,24,4000,0.0072501294665976174,0.008214177061149984,0.006
153250,Dordt College,25,365,29,387,29,397,0.0684931506849315,0.074935400516795869,0.073047858942065488
237312,University of Charleston,31,305,29,282,34,294,0.10163934426229508,0.10283687943262411,0.11564625850340136
206695,Youngstown State University,52,2308,34,2000,27,1808,0.022530329289428077,0.017,0.014933628318584071
