state_rank,Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020,ADDR,CITY,STABBR,ZIP,LONGITUD,LATITUDE,COSTT4_A,COSTT4_P,total_cost
41,102632,University of Alaska Southeast,1,219,1,172,1,155,0.0045662100456621,0.0058139534883720929,0.0064516129032258064,11066 Auke Lake Way,Juneau,AK,99801-8697,-134.638255,58.384846,16310,0,65240
41,102614,University of Alaska Fairbanks,12,746,11,686,9,668,0.0160857908847185,0.016034985422740525,0.013473053892215569,1731 South Chandalar Drive,Fairbanks,AK,99775,-147.823146,64.85756,19135,0,76540
41,102553,University of Alaska Anchorage,29,1607,23,1356,12,1057,0.018046048537647789,0.01696165191740413,0.011352885525070956,3211 Providence Drive,Anchorage,AK,99508,-149.82619,61.190163,18946,0,75784
26,106412,University of Arkansas at Pine Bluff,7,568,8,488,5,685,0.01232394366197183,0.016393442622950821,0.0072992700729927005,1200 N University Mail Slot 4789,Pine Bluff,AR,71601,-92.018683,34.244031,19541,0,78164
26,108092,University of Arkansas-Fort Smith,6,1072,7,934,7,883,0.005597014925373134,0.0074946466809421844,0.0079275198187995465,5210 Grand Ave,Fort Smith,AR,72913-3649,-94.373729,35.384184,17288,0,69152
26,107512,Ouachita Baptist University,5,443,9,441,7,389,0.011286681715575621,0.020408163265306121,0.017994858611825194,410 Ouachita St,Arkadelphia,AR,71998-0001,-93.052471,34.126093,40200,0,160800
26,107071,Henderson State University,7,849,6,791,8,563,0.0082449941107184919,0.0075853350189633373,0.014209591474245116,1100 Henderson Street,Arkadelphia,AR,71999-0001,-93.059703,34.128155,23005,0,92020
26,106467,Arkansas Tech University,31,1722,35,2091,16,1756,0.018002322880371662,0.016738402678144429,0.0091116173120728925,"Administration Bldg 200, 1509 N Boulder Ave",Russellville,AR,72801-2222,-93.13562,35.293237,19361,0,77444
26,107141,John Brown University,29,319,32,319,25,315,0.090909090909090912,0.10031347962382445,0.079365079365079361,2000 W University St,Siloam Springs,AR,72761,-94.560283,36.189812,40774,0,163096
26,106704,University of Central Arkansas,49,2033,40,1840,30,1715,0.024102311854402363,0.021739130434782608,0.017492711370262391,201 Donaghey Ave,Conway,AR,72035-0001,-92.457672,35.077945,23185,0,92740
